dataset,budget,method,codec,index_mib,relative_to_r_rlzsa_percent,saving_mib,saving_percent
boost,25,r-RLZSA,raw,7.055,100.00,0.000,0.00
boost,25,Vr-RLZSA-v1,v1,6.150,87.17,0.905,12.83
boost,25,Vr-RLZSA-v2,v2,4.522,64.10,2.533,35.90
boost,12.5,r-RLZSA,raw,4.748,100.00,0.000,0.00
boost,12.5,Vr-RLZSA-v1,v1,4.305,90.68,0.442,9.32
boost,12.5,Vr-RLZSA-v2,v2,3.499,73.71,1.248,26.29
einstein.en.txt,25,r-RLZSA,raw,18.869,100.00,0.000,0.00
einstein.en.txt,25,Vr-RLZSA-v1,v1,17.997,95.38,0.872,4.62
einstein.en.txt,25,Vr-RLZSA-v2,v2,16.147,85.57,2.722,14.43
einstein.en.txt,12.5,r-RLZSA,raw,15.238,100.00,0.000,0.00
einstein.en.txt,12.5,Vr-RLZSA-v1,v1,14.803,97.15,0.435,2.85
einstein.en.txt,12.5,Vr-RLZSA-v2,v2,13.919,91.34,1.319,8.66
SARS-Cov-2_40,25,r-RLZSA,raw,7.562,100.00,0.000,0.00
SARS-Cov-2_40,25,Vr-RLZSA-v1,v1,7.331,96.94,0.231,3.06
SARS-Cov-2_40,25,Vr-RLZSA-v2,v2,6.925,91.57,0.637,8.43
SARS-Cov-2_40,12.5,r-RLZSA,raw,6.812,100.00,0.000,0.00
SARS-Cov-2_40,12.5,Vr-RLZSA-v1,v1,6.673,97.97,0.139,2.03
SARS-Cov-2_40,12.5,Vr-RLZSA-v2,v2,6.450,94.68,0.362,5.32
world_leaders,25,r-RLZSA,raw,16.630,100.00,0.000,0.00
world_leaders,25,Vr-RLZSA-v1,v1,16.472,99.05,0.157,0.95
world_leaders,25,Vr-RLZSA-v2,v2,16.187,97.34,0.442,2.66
world_leaders,12.5,r-RLZSA,raw,15.965,100.00,0.000,0.00
world_leaders,12.5,Vr-RLZSA-v1,v1,15.889,99.52,0.076,0.48
world_leaders,12.5,Vr-RLZSA-v2,v2,15.749,98.64,0.216,1.36
DNA,25,r-RLZSA,raw,94.139,100.00,0.000,0.00
DNA,25,Vr-RLZSA-v1,v1,89.304,94.86,4.835,5.14
DNA,25,Vr-RLZSA-v2,v2,75.902,80.63,18.237,19.37
DNA,12.5,r-RLZSA,raw,69.176,100.00,0.000,0.00
DNA,12.5,Vr-RLZSA-v1,v1,66.714,96.44,2.461,3.56
DNA,12.5,Vr-RLZSA-v2,v2,59.917,86.62,9.259,13.38
