export_dataset,source_result_dir,dataset,method,index_MiB,build_time_ns,peak_mem_usage_reported,max_rss_kb_time_v
world_leaders,measurements/results/r-RLZSA_world_leaders_m4_128_rerun_20260603,world_leaders,Move-r,13.42,522664252,265488362,267620
world_leaders,measurements/results/r-RLZSA_world_leaders_m4_128_rerun_20260603,world_leaders,Move-r-RLZ,26.26,925933889,303532861,309412
world_leaders,measurements/results/r-RLZSA_world_leaders_m4_128_rerun_20260603,world_leaders,Move-r-RLZEnd,16.43,34789387525,1052920564,1049292
world_leaders,measurements/results/r-RLZSA_world_leaders_m4_128_rerun_20260603,world_leaders,r-RLZSA@25%,17.50,914674124,308175087,318472
world_leaders,measurements/results/r-RLZSA_world_leaders_m4_128_rerun_20260603,world_leaders,r-RLZSA@12.5%,16.50,891663059,308074075,316792
SARS-Cov-2_40,measurements/results/r-RLZSA_SARS-Cov-2_40_m4_128_rerun_20260603,SARS-Cov-2_40,Move-r,3.32,501489779,230307316,220964
SARS-Cov-2_40,measurements/results/r-RLZSA_SARS-Cov-2_40_m4_128_rerun_20260603,SARS-Cov-2_40,Move-r-RLZ,8.55,624954773,239161290,238292
SARS-Cov-2_40,measurements/results/r-RLZSA_SARS-Cov-2_40_m4_128_rerun_20260603,SARS-Cov-2_40,Move-r-RLZEnd,4.31,37316530988,933977227,924184
SARS-Cov-2_40,measurements/results/r-RLZSA_SARS-Cov-2_40_m4_128_rerun_20260603,SARS-Cov-2_40,r-RLZSA@25%,7.56,613932105,241340021,239492
SARS-Cov-2_40,measurements/results/r-RLZSA_SARS-Cov-2_40_m4_128_rerun_20260603,SARS-Cov-2_40,r-RLZSA@12.5%,6.91,601685506,241125601,241120
DNA,measurements/results/r-RLZSA_DNA_full_m4_128_rerun_20260603,DNA,Move-r,28.91,7983559228,3192573407,3143356
DNA,measurements/results/r-RLZSA_DNA_full_m4_128_rerun_20260603,DNA,Move-r-RLZ,192.54,13951341314,3459001816,3562376
DNA,measurements/results/r-RLZSA_DNA_full_m4_128_rerun_20260603,DNA,Move-r-RLZEnd,55.40,1014133412612,14147897733,13870408
DNA,measurements/results/r-RLZSA_DNA_full_m4_128_rerun_20260603,DNA,r-RLZSA@25%,94.03,13882239375,3496467458,3570416
DNA,measurements/results/r-RLZSA_DNA_full_m4_128_rerun_20260603,DNA,r-RLZSA@12.5%,68.77,13907685412,3497413069,3576524
candida_auris,measurements/results/r-RLZSA_candida_auris_full_m4_128_rerun_20260607,candida_auris,Move-r,1206.74,14772340631,3396593589,4183604
candida_auris,measurements/results/r-RLZSA_candida_auris_full_m4_128_rerun_20260607,candida_auris,Move-r-RLZ,1468.92,75132814349,5819322861,6013160
candida_auris,measurements/results/r-RLZSA_candida_auris_full_m4_128_rerun_20260607,candida_auris,Move-r-RLZEnd,1418.30,489847478544,9263632750,9824636
candida_auris,measurements/results/r-RLZSA_candida_auris_full_m4_128_rerun_20260607,candida_auris,r-RLZSA@25%,1479.24,75740631719,6220745857,6739424
candida_auris,measurements/results/r-RLZSA_candida_auris_full_m4_128_rerun_20260607,candida_auris,r-RLZSA@12.5%,1354.12,75514812694,6220740301,6621364
english_200MB,measurements/results/r-RLZSA_english_200MB_m4_128_rerun_20260607,english_200MB,Move-r,1749.70,14883649655,3252790447,4480448
english_200MB,measurements/results/r-RLZSA_english_200MB_m4_128_rerun_20260607,english_200MB,Move-r-RLZ,1627.15,63317656782,5509983896,6969972
english_200MB,measurements/results/r-RLZSA_english_200MB_m4_128_rerun_20260607,english_200MB,Move-r-RLZEnd,1913.34,278473832807,8245603735,8730980
english_200MB,measurements/results/r-RLZSA_english_200MB_m4_128_rerun_20260607,english_200MB,r-RLZSA@25%,1933.49,66336993813,6087796234,7421292
english_200MB,measurements/results/r-RLZSA_english_200MB_m4_128_rerun_20260607,english_200MB,r-RLZSA@12.5%,1835.22,66397338666,6086076124,7532812
einstein,measurements/results/r-RLZSA_einstein_full_m4_128_rerun_20260603,einstein.en.txt,Move-r,6.76,7275360636,2362111823,2307024
einstein,measurements/results/r-RLZSA_einstein_full_m4_128_rerun_20260603,einstein.en.txt,Move-r-RLZ,21.85,7679291897,2378424804,2339812
einstein,measurements/results/r-RLZSA_einstein_full_m4_128_rerun_20260603,einstein.en.txt,Move-r-RLZEnd,8.32,660815019197,10492657505,10265848
einstein,measurements/results/r-RLZSA_einstein_full_m4_128_rerun_20260603,einstein.en.txt,r-RLZSA@25%,18.32,7667381504,2396111464,2349264
einstein,measurements/results/r-RLZSA_einstein_full_m4_128_rerun_20260603,einstein.en.txt,r-RLZSA@12.5%,14.99,7667183371,2396063586,2351056
boost,measurements/results/r-RLZSA_boost_full_m4_128_rerun_20260603,boost,Move-r,1.52,8692455414,3164364470,3084260
boost,measurements/results/r-RLZSA_boost_full_m4_128_rerun_20260603,boost,Move-r-RLZ,5.39,9014614648,3154282835,3094056
boost,measurements/results/r-RLZSA_boost_full_m4_128_rerun_20260603,boost,Move-r-RLZEnd,1.91,643583041085,14128953681,13812976
boost,measurements/results/r-RLZSA_boost_full_m4_128_rerun_20260603,boost,r-RLZSA@25%,7.01,9144078705,3172840535,3098028
boost,measurements/results/r-RLZSA_boost_full_m4_128_rerun_20260603,boost,r-RLZSA@12.5%,4.60,8980333000,3173946237,3098860
