export_dataset,source_result_dir,dataset,workload,pattern_length,num_patterns,occ_avg,occ_min,occ_max,occ_median
world_leaders,measurements/results/r-RLZSA_world_leaders_m4_128_rerun_20260603,world_leaders,m4,4,500,10946592.37,5,21848294,11110727.5
world_leaders,measurements/results/r-RLZSA_world_leaders_m4_128_rerun_20260603,world_leaders,m8,8,500,8877140.07,1,20611048,19840.5
world_leaders,measurements/results/r-RLZSA_world_leaders_m4_128_rerun_20260603,world_leaders,m16,16,500,7163126.30,1,18150219,8884.5
world_leaders,measurements/results/r-RLZSA_world_leaders_m4_128_rerun_20260603,world_leaders,m32,32,500,3688975.73,1,13326037,763.5
world_leaders,measurements/results/r-RLZSA_world_leaders_m4_128_rerun_20260603,world_leaders,m64,64,500,526074.85,1,4912598,56.0
world_leaders,measurements/results/r-RLZSA_world_leaders_m4_128_rerun_20260603,world_leaders,m128,128,500,861.08,1,9412,28.0
SARS-Cov-2_40,measurements/results/r-RLZSA_SARS-Cov-2_40_m4_128_rerun_20260603,SARS-Cov-2_40,m4,4,500,236303.19,2401,882741,222928.0
SARS-Cov-2_40,measurements/results/r-RLZSA_SARS-Cov-2_40_m4_128_rerun_20260603,SARS-Cov-2_40,m8,8,500,21389.57,2,855407,2655.0
SARS-Cov-2_40,measurements/results/r-RLZSA_SARS-Cov-2_40_m4_128_rerun_20260603,SARS-Cov-2_40,m16,16,500,15847.56,1,808299,1378.0
SARS-Cov-2_40,measurements/results/r-RLZSA_SARS-Cov-2_40_m4_128_rerun_20260603,SARS-Cov-2_40,m32,32,500,10000.46,1,728532,1367.5
SARS-Cov-2_40,measurements/results/r-RLZSA_SARS-Cov-2_40_m4_128_rerun_20260603,SARS-Cov-2_40,m64,64,500,14375.31,1,601336,1338.0
SARS-Cov-2_40,measurements/results/r-RLZSA_SARS-Cov-2_40_m4_128_rerun_20260603,SARS-Cov-2_40,m128,128,500,2725.74,1,423349,1289.5
DNA,measurements/results/r-RLZSA_DNA_full_m4_128_rerun_20260603,DNA,m4,4,500,23446229.87,9826,48300668,15671490.0
DNA,measurements/results/r-RLZSA_DNA_full_m4_128_rerun_20260603,DNA,m8,8,500,14292074.51,596,40570280,4370988.0
DNA,measurements/results/r-RLZSA_DNA_full_m4_128_rerun_20260603,DNA,m16,16,500,9848782.32,596,29101121,3096656.0
DNA,measurements/results/r-RLZSA_DNA_full_m4_128_rerun_20260603,DNA,m32,32,500,2658144.68,563,15842143,609592.0
DNA,measurements/results/r-RLZSA_DNA_full_m4_128_rerun_20260603,DNA,m64,64,500,958363.93,1,4719165,590229.0
DNA,measurements/results/r-RLZSA_DNA_full_m4_128_rerun_20260603,DNA,m128,128,500,508268.65,1,1106582,553601.0
candida_auris,measurements/results/r-RLZSA_candida_auris_full_m4_128_rerun_20260607,candida_auris,m4,4,500,1631683.62,515951,3700398,1539685.5
candida_auris,measurements/results/r-RLZSA_candida_auris_full_m4_128_rerun_20260607,candida_auris,m8,8,500,7866.29,1,48864,6797.0
candida_auris,measurements/results/r-RLZSA_candida_auris_full_m4_128_rerun_20260607,candida_auris,m16,16,500,42.17,1,6584,13.0
candida_auris,measurements/results/r-RLZSA_candida_auris_full_m4_128_rerun_20260607,candida_auris,m32,32,500,17.35,1,483,10.0
candida_auris,measurements/results/r-RLZSA_candida_auris_full_m4_128_rerun_20260607,candida_auris,m64,64,500,10.23,1,371,5.0
candida_auris,measurements/results/r-RLZSA_candida_auris_full_m4_128_rerun_20260607,candida_auris,m128,128,500,1.56,1,60,1.0
english_200MB,measurements/results/r-RLZSA_english_200MB_m4_128_rerun_20260607,english_200MB,m4,4,500,118047.71,4,2641644,17617.5
english_200MB,measurements/results/r-RLZSA_english_200MB_m4_128_rerun_20260607,english_200MB,m8,8,500,3260.17,1,273351,158.5
english_200MB,measurements/results/r-RLZSA_english_200MB_m4_128_rerun_20260607,english_200MB,m16,16,500,12.56,1,1872,2.0
english_200MB,measurements/results/r-RLZSA_english_200MB_m4_128_rerun_20260607,english_200MB,m32,32,500,5.43,1,1476,1.0
english_200MB,measurements/results/r-RLZSA_english_200MB_m4_128_rerun_20260607,english_200MB,m64,64,500,11.12,1,4756,1.0
english_200MB,measurements/results/r-RLZSA_english_200MB_m4_128_rerun_20260607,english_200MB,m128,128,500,1.47,1,4,1.0
einstein,measurements/results/r-RLZSA_einstein_full_m4_128_rerun_20260603,einstein.en.txt,m4,4,500,290651.11,384,3397531,56063.5
einstein,measurements/results/r-RLZSA_einstein_full_m4_128_rerun_20260603,einstein.en.txt,m8,8,500,38157.17,30,2475825,6697.0
einstein,measurements/results/r-RLZSA_einstein_full_m4_128_rerun_20260603,einstein.en.txt,m16,16,500,8258.01,29,369952,4897.0
einstein,measurements/results/r-RLZSA_einstein_full_m4_128_rerun_20260603,einstein.en.txt,m32,32,500,4350.85,6,69416,3524.5
einstein,measurements/results/r-RLZSA_einstein_full_m4_128_rerun_20260603,einstein.en.txt,m64,64,500,3322.29,1,67948,3056.5
einstein,measurements/results/r-RLZSA_einstein_full_m4_128_rerun_20260603,einstein.en.txt,m128,128,500,2318.15,1,7292,1773.5
boost,measurements/results/r-RLZSA_boost_full_m4_128_rerun_20260603,boost,m4,4,500,8791312.73,1760,81173858,134535.0
boost,measurements/results/r-RLZSA_boost_full_m4_128_rerun_20260603,boost,m8,8,500,3564104.19,1760,44101707,29920.0
boost,measurements/results/r-RLZSA_boost_full_m4_128_rerun_20260603,boost,m16,16,500,341983.76,1416,14554913,5870.0
boost,measurements/results/r-RLZSA_boost_full_m4_128_rerun_20260603,boost,m32,32,500,19673.90,425,2619288,2185.0
boost,measurements/results/r-RLZSA_boost_full_m4_128_rerun_20260603,boost,m64,64,500,5500.20,425,375680,2185.0
boost,measurements/results/r-RLZSA_boost_full_m4_128_rerun_20260603,boost,m128,128,500,2688.78,425,39312,1760.0
